meanPrice, var, nbSimul
3.17139,16.8956,1000
3.10576,17.2428,1500
3.17604,18.3534,2000
3.11328,18.1487,2500
3.13112,14.4105,3000
3.11003,17.5402,3500
3.1851,16.1077,4000
3.16554,17.647,4500
3.11454,16.7514,5000
3.21067,14.5702,5500
3.05432,17.323,6000
3.17507,15.9847,6500
3.17842,15.5776,7000
3.23693,14.2385,7500
3.24252,14.4673,8000
3.13125,17.5361,8500
3.17248,16.2365,9000
3.17457,15.1646,9500
3.2425,14.9017,10000
3.21186,15.9375,10500
3.16881,15.5187,11000
3.08173,17.3568,11500
3.22891,15.5144,12000
3.17209,16.2427,12500
3.19365,16.1462,13000
3.21415,14.7284,13500
3.21015,15.034,14000
3.23024,13.7675,14500
3.1979,15.5027,15000
3.16959,16.4523,15500
3.22963,14.4034,16000
3.22212,15.2085,16500
3.2143,14.6438,17000
3.21066,15.6538,17500
3.21186,14.9015,18000
3.22813,15.4503,18500
3.1295,16.4271,19000
3.14122,16.6785,19500
3.24549,13.8706,20000
3.20054,14.9614,20500
3.15097,15.5713,21000
3.17658,16.1203,21500
3.22061,15.1404,22000
3.18237,15.4401,22500
3.22244,15.4155,23000
3.19528,15.4596,23500
3.19501,15.6471,24000
3.18345,15.4451,24500
3.19829,15.5293,25000
